Last Traded Time,Company Name,Symbol,Last Traded Price(Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,64.10,,,,0.00,0.00
,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,45.50,,,,0.00,0.00
,CITY HOUSING & REAL ESTATE CO. PLC,CHOU.N0000,,,,,,
,SWADESHI INDUSTRIAL WORKS PLC,SWAD.N0000,14900.00,,,,0.00,0.00
,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,70.00,,,,0.00,0.00
,ARPICO FINANCE COMPANY PLC,ARPI.N0000,109.80,,,,0.00,0.00
,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,55.00,,,,0.00,0.00
,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,54.40,,,,0.00,0.00
,LANKA VENTURES PLC,LVEN.N0000,38.50,,,,0.00,0.00
,PARAGON CEYLON PLC,PARA.N0000,,,,,,
,C T LAND DEVELOPMENT PLC,CTLD.N0000,26.10,,,,0.00,0.00
,OFFICE EQUIPMENT PLC,OFEQ.N0000,,,,,,
,INDO MALAY  PLC,INDO.N0000,1050.40,,,,0.00,0.00
,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,750.00,,,,0.00,0.00
,HOTEL DEVELOPERS (LANKA) PLC,HDEV.N0000,,,,,,
,CEYLON & FOREIGN TRADES PLC,CFT.N0000,,,,,,
,HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,,,,,,
,SELINSING  PLC,SELI.N0000,699.90,,,,0.00,0.00
,E B CREASY & COMPANY PLC,EBCR.N0000,1050.00,,,,0.00,0.00
,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,720.00,,,,0.00,0.00
,HORANA PLANTATIONS PLC,HOPL.N0000,16.40,,,,0.00,0.00
,EQUITY TWO PLC,ETWO.N0000,50.60,,,,0.00,0.00
,HUNTERS & COMPANY PLC,HUNT.N0000,399.00,,,,0.00,0.00
,LAKE HOUSE PRINTERS AND PUBLISHERS PLC,LPRT.N0000,144.00,,,,0.00,0.00
,STANDARD CAPITAL PLC,SING.N0000,,,,,,
,THE FINANCE COMPANY PLC,TFC.N0000,,,,,,
,MTD WALKERS PLC,KAPI.N0000,,,,,,
,LANKA CEMENT PLC,LCEM.N0000,,,,,,
,SHALIMAR (MALAY)  PLC,SHAL.N0000,1158.30,,,,0.00,0.00
,MORISON PLC,MORI.N0000,,,,,,
,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,47.30,,,,0.00,0.00
,CEYLON PRINTERS PLC,CPRT.N0000,,,,,,
,LANKA CERAMIC PLC,CERA.N0000,89.00,,,,0.00,0.00
,PC PHARMA PLC,PCP.N0000,,,,,,
,ADAM CAPITAL PLC,PCHH.N0000,,,,,,
,SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,,,,,,
